"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"2";"1uF/25V";"1UF_CER_SMD-0402_25V-10%";"CAPC1005X55_SMD-0402";"C1, C2";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_lowprofile_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-13185-1-ND";"445-13185-1-ND";"TDK Corporation";"CGB2A1X5R1E105K033BC";"1uF/25V";
"2";"PTH VERT MALE";"1X04_PTH_VERT_MALE_2.54MM";"HDRV4W64P254_1X4_1016X254X838B";"J1, J2";"";"https://drawings-pdf.s3.amazonaws.com/C10436.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=PEC04SAAN";"S1012E-04-ND";"Sullins Connector Solutions";"PEC04SAAN";"PTH VERT MALE";
"1";"VCNL36687S";"VCNL36687S";"SON77P200X305X100-8N";"U1";"SENSOR OPT AMBIENT MODULE";"https://www.vishay.com/docs/84907/vcnl36687s.pdf";"Digikey";"https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/VCNL36687S/9647134?s=N4IgTCBcDaIGoGEByAZAzANgwDgOwGUEAVAWiQBEQBdAXyA";"VCNL36687SCT-ND";"Vishay Semiconductor Opto Division";"VCNL36687S";"VCNL36687S";
